hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,reservation_status
City Hotel,1,2015,August,30,2,1,2,0,0,HB,ESP,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
Resort Hotel,0,2017,August,27,2,2,2,0,0,HB,CHE,TA/TO,0,0,0,D,D,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,March,26,2,1,1,0,0,BB,CN,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,1,2016,December,2,2,2,2,0,0,SC,AGO,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2016,April,22,1,2,2,0,0,BB,GBR,TA/TO,0,0,0,F,F,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2016,June,16,2,4,3,1,0,BB,SWE,TA/TO,0,0,0,H,H,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2015,September,7,1,3,2,1,0,HB,PRT,Direct,0,0,0,A,C,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2015,December,26,2,2,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,June,22,0,1,1,0,0,BB,FRA,Corporate,1,1,3,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,November,6,2,2,2,0,0,BB,FIN,Direct,0,0,0,A,K,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2017,February,16,0,3,2,1,0,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,July,22,0,2,2,0,0,BB,USA,TA/TO,0,0,0,A,A,No Deposit,96,Transient-Party,0,Check-Out
Resort Hotel,0,2015,November,18,2,4,2,0,0,BB,ESP,TA/TO,0,0,0,A,A,No Deposit,65,Transient-Party,0,Check-Out
Resort Hotel,0,2016,October,12,0,4,2,0,0,BB,GBR,Corporate,0,0,0,A,D,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2016,May,24,0,1,1,0,0,SC,ITA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2015,December,18,0,1,2,0,0,BB,PRT,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,August,26,0,2,1,0,0,BB,PRT,TA/TO,0,1,0,A,A,Non Refund,0,Transient-Party,0,Canceled
City Hotel,0,2017,June,11,2,2,2,0,0,BB,BRA,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,July,24,2,5,3,0,0,BB,DNK,TA/TO,0,0,0,A,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,February,15,1,3,2,0,0,SC,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2016,April,26,1,5,3,0,0,HB,FRA,TA/TO,0,0,0,H,H,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2017,May,5,0,1,2,0,0,SC,AUT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2015,August,8,2,2,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Canceled
City Hotel,1,2017,February,7,0,3,2,0,0,SC,CHN,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,1,2015,August,15,2,3,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2017,April,17,1,5,2,0,0,HB,ESP,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2017,June,5,1,5,2,0,0,HB,BEL,TA/TO,0,0,0,E,E,No Deposit,0,Transient,0,Canceled
City Hotel,1,2017,August,19,2,1,1,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,No-Show
City Hotel,0,2016,April,11,1,4,2,0,0,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2017,January,14,1,1,2,0,0,BB,PRT,TA/TO,0,0,0,F,F,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,May,3,0,3,1,0,0,HB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,1,2016,June,2,0,3,2,0,0,BB,PRT,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,December,5,1,2,2,0,0,BB,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,May,15,3,7,2,0,0,BB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient,1,Check-Out
City Hotel,0,2016,October,4,2,5,3,0,0,BB,RUS,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
Resort Hotel,0,2017,July,2,2,3,2,0,0,HB,PRT,TA/TO,0,0,0,D,D,No Deposit,0,Transient,1,Check-Out
Resort Hotel,0,2016,May,13,0,1,2,0,0,BB,NLD,TA/TO,0,0,0,D,H,No Deposit,0,Transient,1,Check-Out
City Hotel,1,2015,August,15,2,2,1,0,0,BB,PRT,TA/TO,0,1,0,A,A,No Deposit,0,Transient-Party,0,Canceled
Resort Hotel,0,2017,May,17,0,4,2,0,0,BB,PRT,Direct,0,0,0,E,E,No Deposit,0,Transient,1,Check-Out
Resort Hotel,1,2015,September,17,0,3,2,0,0,BB,GBR,Corporate,0,1,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2016,August,19,0,2,2,0,0,HB,PRT,TA/TO,0,0,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,0,2017,January,18,0,1,1,0,0,BB,CHN,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
City Hotel,0,2017,August,24,0,1,2,0,0,BB,BRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,May,16,0,4,2,0,0,BB,AUS,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2015,August,21,2,5,3,0,0,BB,GBR,Direct,0,0,0,F,F,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,August,10,0,3,2,0,0,BB,ESP,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2017,August,19,2,1,2,0,0,BB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2017,April,7,0,1,2,0,0,BB,CHN,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
Resort Hotel,0,2016,November,15,0,4,1,0,0,BB,GBR,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
Resort Hotel,1,2017,May,15,4,10,2,0,0,BB,PRT,TA/TO,0,0,0,D,D,No Deposit,0,Contract,0,Canceled
Resort Hotel,0,2016,May,19,2,5,2,0,0,HB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Contract,0,Check-Out
Resort Hotel,1,2015,July,15,0,2,2,0,0,FB,PRT,TA/TO,0,24,0,A,A,Non Refund,0,Transient,0,Canceled
City Hotel,1,2016,August,26,2,2,2,0,0,SC,FRA,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Canceled
City Hotel,0,2016,September,21,0,4,2,0,0,HB,ITA,TA/TO,0,0,0,A,A,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2015,July,24,0,2,2,0,0,BB,BRA,TA/TO,0,0,0,D,F,No Deposit,0,Transient-Party,0,Check-Out
Resort Hotel,0,2015,July,21,2,5,2,0,0,HB,GBR,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Check-Out
City Hotel,1,2016,April,4,3,5,2,0,0,BB,CHN,TA/TO,0,0,0,D,D,No Deposit,0,Transient,0,Canceled
City Hotel,1,2017,June,29,0,2,2,0,0,BB,USA,TA/TO,0,0,0,A,D,No Deposit,0,Transient-Party,0,Canceled
Resort Hotel,0,2015,September,16,0,1,2,0,0,BB,AUS,TA/TO,0,0,0,A,C,No Deposit,0,Transient,0,Check-Out
City Hotel,0,2016,February,10,1,4,2,0,0,BB,DEU,TA/TO,0,0,0,A,A,No Deposit,0,Transient,0,Check-Out
